company,state,ticker,exchange,profit_MUSD,debt_MUSD,assets_MUSD,ipo_date,ipo_fees_MUSD,ipo_price_USDshare,ipo_amount_MUSD,industry,is_synthetic
Hercules Offshore Inc,Texas,HERO,Nasdaq,0.0,93.3,266.1,2005-07-08,7.567,20.0,184.0,Oil,0
Boardwalk Pipeline Partners LP,Texas,BWP,New York,236.9,1101.3,2438.4,2005-08-16,6.821,19.5,292.5,Oil,0
iROBOT Corp,Massachusetts,,Nasdaq,1.8,0.0,119.4,2005-07-27,8.685,24.0,103.2,Machinery,0
IHS Inc,Colorado,IHS,New York,79.3,0.0,743.0,2005-02-04,8.809,16.0,232.24,IT,0
Dover Saddlery Inc,Massachusetts,DOVR,Nasdaq,0.0,8.3,30.7,2005-08-26,10.091,10.0,27.5,Transport,0
Under Armour Inc,Maryland,UA,Nasdaq,38.1,4.6,144.8,2005-08-26,8.269,13.0,157.612,Clothes,0
Brookdale Senior Living Inc,Tennessee,BKD,New York,0.0,754.2,1471.9,2005-08-09,9.316,19.0,210.368,Health,0
Basic Energy Services Inc,Texas,BAS,New York,0.0,119.2,426.6,2005-08-12,7.091,20.0,250.0,Oil,0
DealerTrack Holdings Inc,New York,TRAK,Nasdaq,0.0,0.4,138.0,2005-07-27,7.921,17.0,170.0,IT,0
BCB Bancorp Inc,New Jersey,BCBP,Nasdaq,7.8,54.1,398.1,2005-09-09,9.401,15.25,16.775,Finance,0
Somaxon Pharmaceuticals Inc,California,SOMX,Nasdaq,-13.6,0.0,108.4,2005-10-07,10.455,11.0,55.0,Chemical,0
Emergency Medical Services Corp,Ohio,EMS,New York,121.8,495.5,996.9,2005-08-02,10.968,14.0,113.4,Transport,0
Spansion Inc,California,SPSN,Nasdaq,0.0,526.1,2754.8,2005-04-13,6.811,12.0,506.4,Machinery,0
LINN Energy LLC,Texas,LINE,Nasdaq,-41.9,158.8,279.5,2005-06-03,9.563,21.0,246.75,Oil,0
Western Refining Inc,Texas,,New York,216.1,0.0,643.6,2005-09-27,7.161,17.0,382.5,Oil,0
Calumet Specialty Products Partners LP,Indiana,CLMT,Nasdaq,0.0,64.1,399.7,2005-10-07,8.612,21.5,137.5460995,Oil,0
Koppers Holdings Inc,Pennsylvania,KOP,New York,0.0,428.2,513.7,2005-09-12,2.339,14.0,140.0,Timber,0
SGX Pharmaceuticals Inc,California,SGXP,Nasdaq,-23.8,0.0,33.3,2005-09-02,15.333,6.0,24.0,Agriculture,0
HealthSpring Inc,Tennessee,HS,New York,66.9,0.0,591.8,2005-10-11,2.457,19.5,366.6,Health,0
Smart Modular Technologies (WWH)Inc,California,SMOD,Nasdaq,0.0,125.0,334.9,2005-10-19,8.1,9.0,163.636362,Machinery,0
Resource Capital Corp,New York,RSO,New York,54.0,1793.5,2045.5,2005-07-11,10.167,15.0,60.0,Finance,0
Crocs Inc,Colorado,CROX,Nasdaq,30.2,1.1,76.9,2005-08-15,7.712,21.0,207.9,Clothes,0
EXCO Resources Inc,Texas,XCO,New York,-91.9,569.6,2288.3,2005-11-23,5.531,13.0,650.0,Oil,0
Morton's Restaurant Group Inc,Illinois,MRT,New York,24.7,51.9,282.6,2005-12-01,8.719,17.0,160.905,Restaurant,0
NightHawk Radiology Holdings Inc,Idaho,NHWK,Nasdaq,-12.7,0.0,32.0,2005-10-05,8.709,16.0,100.8,Health,0
Morgans Hotel Group Co,New York,MHGC,Nasdaq,81.6,457.6,606.3,2005-10-27,8.028,20.0,360.0,Services,0
Alexza Pharmaceuticals Inc,California,ALXA,Nasdaq,-30.0,5.7,86.1,2005-12-22,11.348,8.0,44.0,Chemical,0
Eagle Test Systems Inc,Illinois,EGLT,Nasdaq,0.0,0.5,77.1,2005-12-20,8.886,15.5,100.75,Machinery,0
Clayton Holdings Inc,Connecticut,CLAY,Nasdaq,31.3,79.9,247.5,2005-11-07,10.451,17.0,127.5,Consulting,0
Visicu Inc,Maryland,EICU,Nasdaq,0.0,0.0,38.2,2005-11-29,8.63,16.0,96.0,IT,0
Castle Brands Inc,New York,ROX,American,-11.4,13.6,43.6,2005-09-29,14.54,9.0,31.5,Food,0
Sealy Corp,North Carolina,ZZ,New York,228.3,796.1,908.5,2005-06-30,7.47,16.0,448.0,Furniture,0
Complete Production Services Inc,Texas,CPX,New York,0.0,434.8,1059.7,2005-09-30,6.717,24.0,624.0,Oil,0
CPI International Inc,California,CPII,Nasdaq,0.0,246.8,445.8,2005-12-23,8.574,18.0,127.05966,Energy,0
Delek US Holdings Inc,Tennessee,DK,New York,0.0,211.4,621.8,2006-02-08,8.402,16.0,160.0,Oil,0
DynCorp International LLC,Virginia,DCP,New York,148.7,629.3,1227.6,2005-09-28,7.6,15.0,375.0,Consulting,0
BioMimetic Therapeutics Inc,Tennessee,BMTI,Nasdaq,0.0,0.0,47.7,2006-02-10,14.88,8.0,36.8,Health,0
Mueller Water Products Inc,Georgia,MWA,New York,0.0,0.0,2964.8,2006-02-03,6.435,16.0,400.0,Machinery,0
Town Sports International Holdings Inc,New York,CLUB,Nasdaq,87.0,275.0,419.3,2005-07-06,9.014,13.0,116.35,Services,0
Alphatec Holdings Inc,California,ATEC,Nasdaq,0.0,3.3,115.7,2006-02-06,14.646,9.0,83.7,Health,0
Luna Innovations Inc,Virginia,LUNA,Nasdaq,0.0,5.1,20.8,2006-02-10,14.143,6.0,21.0,Chemical,0
Verasun Energy Corp,South Dakota,VSE,New York,0.0,208.8,413.5,2006-03-30,7.506,23.0,419.75,Chemical,0
Houston Wire & Cable Co,Texas,HWCC,Nasdaq,0.0,0.0,87.9,2006-03-24,8.357,13.0,110.5,Energy,0
"Home BancShares Inc,Conway, Arkansas",Arkansas,HOMB,Nasdaq,0.0,171.0,1961.5,2006-03-14,8.773,18.0,45.0,Finance,0
PGT Inc,Florida,PGTI,Nasdaq,0.0,317.4,461.3,2006-03-10,7.69,14.0,123.529406,Metal,0
Aventine Renewable Energy Holdings Inc,Illinois,AVR,New York,0.0,160.0,238.0,2006-03-30,5.642,43.0,389.51335,Chemical,0
Ascent Solar Technologies Inc,Colorado,ASTI,Nasdaq,0.0,0.0,1.2,2006-01-23,15.243,5.5,16.5,Machinery,0
Cowen Group Inc,New York,COWN,Nasdaq,0.0,0.0,789.9,2006-03-21,10.266,16.0,179.478272,Finance,0
Cleveland Biolabs Inc,New York,CBLI,Nasdaq,0.0,0.1,2.4,2006-02-17,12.941,6.0,10.2,Agriculture,0
Evercore Partners Inc,New York,EVR,New York,0.0,0.1,83.9,2006-05-12,14.233,21.0,82.95,Finance,0
Home Diagnostics Inc,Florida,HDIX,Nasdaq,0.0,0.0,87.7,2006-05-01,8.757,12.0,79.193844,Health,0
Riverbed Technology Inc,California,RVBD,Nasdaq,0.0,0.3,44.7,2006-04-20,9.948,9.75,85.8,IT,0
CommVault Systems Inc,New Jersey,CVLT,Nasdaq,0.0,0.0,78.1,2006-03-17,8.349,14.5,161.1111095,IT,0
DivX Inc,California,DIVX,Nasdaq,0.0,0.2,43.0,2006-05-05,8.672,16.0,145.6,IT,0
Porter Bancorp Inc,Kentucky,PBIB,Nasdaq,0.0,82.0,1013.4,2006-04-11,9.285,24.0,37.2,Finance,0
EV Energy Partners LP,Texas,EVEP,Nasdaq,0.0,10.4,85.7,2006-05-15,9.064,20.0,78.0,Oil,0
ICF International Inc,Virginia,ICFI,Nasdaq,0.0,13.6,171.8,2006-05-11,10.926,12.0,56.04,Consulting,0
Bare Escentuals Inc,California,BARE,Nasdaq,103.3,690.0,119.8,2006-06-30,7.527,22.0,352.0,Chemical,0
Shutterfly Inc,California,SFLY,Nasdaq,0.0,1.9,54.6,2006-06-29,9.894,15.0,87.0,Chemical,0
BreitBurn Energy Partners LP,California,BBEP,Nasdaq,0.0,2.0,366.6,2006-05-12,9.742,18.5,111.0,Oil,0
Acme Packet Inc,Massachusetts,APKT,Nasdaq,0.0,0.0,55.3,2006-06-02,8.755,9.5,109.008016,IT,0
eHealth Inc,California,EHTH,Nasdaq,0.0,0.0,23.0,2006-04-25,12.109,14.0,70.0,Finance,0
First Mercury Financial Corp,Michigan,FMR,New York,0.0,46.4,443.1,2006-05-30,8.318,17.0,164.999994,Finance,0
Stanley Inc,Virginia,SXE,New York,0.0,37.0,197.4,2006-05-12,9.973,13.0,81.9,IT,0
Trubion Pharmaceuticals Inc,Washington,TRBN,Nasdaq,0.0,6.7,59.0,2006-06-02,10.679,13.0,52.0,Agriculture,0
LeMaitre Vascular Inc,Massachusetts,LMAT,Nasdaq,1.8,0.0,27.6,2006-04-25,14.273,7.0,38.5,Health,0
Douglas Emmett Inc,California,DEI,New York,0.0,2785.2,3062.2,2006-06-16,6.192,21.0,1386.0,Finance,0
Cadence Pharmaceuticals Inc,California,CADX,Nasdaq,0.0,4.7,45.1,2006-07-17,9.899,9.0,54.0,Chemical,0
Eagle Rock Energy Partners LP,Texas,EROC,Nasdaq,0.0,405.7,768.8,2006-06-06,7.631,19.0,237.5,Oil,0
Achillion Pharmaceuticals Inc,Connecticut,ACHN,Nasdaq,0.0,5.3,19.4,2006-03-31,10.193,11.5,51.75,Chemical,0
Southern National Bancorp of Virginia Inc,Virginia,SONA,Nasdaq,0.0,0.0,156.9,2006-08-04,4.7,14.0,25.004,Finance,0
Debt Resolve Inc,New York,DRV,American,-12.3,0.0,0.7,2006-07-20,14.8,5.0,12.5,IT,0
Innophos Holdings Inc,New Jersey,IPHS,Nasdaq,0.0,398.3,615.3,2006-07-19,9.875,12.0,104.347824,Chemical,0
ORBCOMM Inc,New Jersey,ORBC,Nasdaq,0.0,0.9,76.4,2006-05-12,10.447,11.0,101.5388,Communications,0
Catalyst Pharmaceutical Partners Inc,Florida,CPRX,Nasdaq,0.0,0.0,3.5,2006-07-25,11.975,6.0,20.1,Chemical,0
KBW Inc,New York,KBW,New York,0.0,0.0,726.1,2006-08-11,8.522,21.0,142.8,Finance,0
ACA Capital Holdings Inc,New York,ACAH,New York,0.0,2225.9,6049.3,2006-05-09,11.544,13.0,89.681033,Finance,0
Capella Education Co,Minnesota,CPLA,Nasdaq,0.0,0.0,108.9,2005-04-18,10.776,20.0,80.0,IT,0
Thermage Inc,California,THRM,Nasdaq,0.0,0.0,25.0,2006-08-10,12.343,7.0,42.0,Energy,0
Metabolix Inc,Massachusetts,MBLX,Nasdaq,0.0,0.0,21.4,2006-07-14,9.101,14.0,95.2,Agriculture,0
Emergent BioSolutions Inc,Maryland,EBS,New York,12.1,31.4,120.0,2006-08-14,12.52,12.5,62.5,Chemical,0
Constellation Energy Partners LLC,Maryland,CEP,New York,16.1,22.0,201.7,2006-06-13,9.319,21.0,94.5,Oil,0
Hansen Medical Inc,California,HNSN,Nasdaq,-21.4,3.3,21.5,2006-08-16,9.783,12.0,75.0,Health,0
Hertz Global Holdings Inc,New Jersey,HTZ,New York,0.0,9766.2,19465.4,2006-07-14,4.779,15.0,1323.525,Transport,0
First Solar Inc,Arizona,FSLR,Nasdaq,0.0,61.0,255.1,2006-06-30,7.159,20.0,400.0,Machinery,0
NYMEX Holdings Inc,New York,NMX,New York,441.6,80.3,2952.1,2006-07-14,7.597,59.0,383.5,Finance,0
Venoco Inc,Colorado,VQ,New York,152.9,529.6,889.2,2005-12-19,7.666,17.0,212.5,Oil,0
Spirit AeroSystems Holdings Inc,Kansas,SPR,New York,0.0,594.3,2335.4,2006-06-30,5.546,26.0,1432.166684,Machinery,0
Willdan Group Inc,California,WLDN,Nasdaq,0.0,0.4,37.8,2006-08-09,13.034,10.0,29.0,Engineering,0
Netlist Inc,California,NLST,Nasdaq,7.6,1.2,42.0,2006-08-18,10.6,7.0,43.75,Machinery,0
Allegiant Travel Co,Nevada,ALGT,Nasdaq,24.0,57.9,189.8,2006-05-15,8.353,18.0,90.0,Transport,0
Guidance Software Inc,California,GUID,Nasdaq,0.0,0.5,26.6,2006-09-15,12.293,11.5,57.5,IT,0
IPG Photonics Corp,Massachusetts,IPGP,Nasdaq,36.3,30.1,141.4,2006-08-11,8.405,16.5,148.5,Machinery,0
MEDecision Inc,Pennsylvania,MEDE,Nasdaq,3.2,2.6,32.5,2006-08-11,15.085,10.0,47.0,IT,0
Cal Dive International Inc,Texas,DVR,New York,0.0,181.7,405.4,2006-05-31,7.888,13.0,288.249,Oil,0
Carrols Restaurant Group Inc,New York,TAST,Nasdaq,74.5,356.0,483.7,2006-09-22,8.948,13.0,130.0,Restaurant,0
Universal Power Group Inc,Texas,UPG,American,3.3,5.9,32.0,2006-09-12,9.571,7.0,21.0,Machinery,0
Legacy Reserves LP,Texas,LGCY,Nasdaq,29.7,4.0,273.4,2006-11-13,8.373,19.0,114.0,Oil,0
Duncan Energy Partners LP,Texas,DEP,New York,75.8,169.0,804.1,2006-11-02,7.083,21.0,273.0,Oil,0
Employers Holdings Inc,Nevada,EIG,New York,0.0,0.0,3121.9,2006-12-04,7.666,17.0,454.75,Finance,0
HFF Inc,Pennsylvania,HF,New York,58.2,0.0,209.5,2006-11-09,8.25,18.0,257.4,Finance,0
Accuray Inc,California,ARAY,Nasdaq,0.0,0.0,143.7,2006-11-13,7.845,18.0,288.0,Health,0
Targa Resources Partners LP,Texas,NGLS,Nasdaq,84.5,294.5,1115.8,2006-11-15,6.736,21.0,352.8,Oil,0
US Auto Parts Networks Inc,California,PRTS,Nasdaq,12.5,0.1,68.2,2006-11-02,9.532,10.0,100.0,Machinery,0
VeriChip Corp,Florida,CHIP,Nasdaq,-3.4,11.3,50.9,2005-12-29,37.273,6.5,20.15,Machinery,0
Converted Organics Inc,Massachusetts,COIN,Nasdaq,-2.7,17.5,1.6,2006-06-21,19.626,5.5,9.9,Chemical,0
Opnext Inc,California,OPXT,Nasdaq,0.0,11.9,232.9,2006-10-27,8.783,15.0,253.640625,Machinery,0
Salary.com Inc,Massachusetts,SLRY,Nasdaq,-4.3,0.0,15.9,2006-11-13,13.247,10.5,59.85,IT,0
Clearwire Corp,Nevada,CLWR,Nasdaq,-164.4,649.3,2627.4,2006-12-19,6.833,25.0,600.0,IT,0
Sourcefire Inc,Maryland,FIRE,Nasdaq,0.5,0.0,121.7,2006-10-25,9.512,15.0,86.55,IT,0
FCStone Group Inc,Iowa,FCSX,Nasdaq,45.4,44.6,1529.3,2006-10-12,8.156,24.0,122.4,Consulting,0
Glu Mobile Inc,California,GLUU,Nasdaq,-7.2,0.0,147.3,2006-12-19,10.479,11.5,83.95,IT,0
Aruba Networks Inc,California,ARUN,Nasdaq,0.0,0.0,56.7,2006-12-15,9.322,11.0,88.0,IT,0
Ocean Power Technologies Inc,New Jersey,OPTT,Nasdaq,-6.8,0.2,30.9,2006-11-13,9.9,20.0,100.0,Energy,0
Pharmasset Inc,New Jersey,VRUS,Nasdaq,0.0,0.1,38.0,2006-05-08,13.122,9.0,45.0,Chemical,0
Interactive Brokers Group Inc,Connecticut,IBKR,Nasdaq,0.0,304.7,32248.7,2006-11-27,2.327,30.01,1200.4,Finance,0
Tomotherapy Inc,Wisconsin,TOMO,Nasdaq,0.0,0.0,121.7,2007-02-12,7.702,19.0,223.12498,Energy,0
Solera Holdings Inc,Texas,,New York,0.0,599.1,1254.9,2007-02-12,7.987,16.0,420.0,IT,0
Skilled Healthcare Group Inc,California,SKH,New York,0.0,405.6,879.9,2006-10-10,7.921,15.5,258.333323,Health,0
TechTarget Inc,Massachusetts,TTGT,Nasdaq,0.0,4.5,92.1,2007-02-07,9.172,13.0,100.1,Consulting,0
EnerNOC Inc,Massachusetts,ENOC,Nasdaq,0.0,4.9,43.6,2007-02-12,10.344,26.0,97.5,Machinery,0
Sirtris Pharmaceuticals Inc,Massachusetts,SIRT,Nasdaq,0.0,8.0,83.5,2007-03-01,9.609,10.0,60.0,Chemical,0
Clean Energy Fuels Corp,California,CLNE,Nasdaq,0.0,0.2,139.8,2006-09-06,9.333,12.0,120.0,Oil,0
Response Genetics Inc,California,RGDX,Nasdaq,-1.5,0.0,8.3,2006-12-20,15.143,7.0,21.0,Health,0
FBR Capital Markets Corp,Virginia,FBCM,Nasdaq,0.0,0.0,608.7,2007-04-10,7.906,17.0,204.595,Finance,0
Limelight Networks Inc,Arizona,LLNW,Nasdaq,0.0,0.0,79.1,2007-03-22,7.87,15.0,240.0,Consulting,0
BioFuel Energy Corp,Colorado,BIOF,Nasdaq,0.0,55.0,141.9,2006-12-08,12.206,10.5,55.125,Chemical,0
Blackstone Group LP,New York,BX,New York,0.0,86.5,39365.5,2007-03-22,5.304,31.0,4133.333354,Finance,0
Pros Holdings Inc,Texas,PRO,New York,0.0,19.8,25.7,2007-04-04,9.316,11.0,75.075,IT,0
Bridgeline Software Inc,Massachusetts,BLSW,Nasdaq,0.0,0.1,9.4,2006-12-13,14.571,5.0,15.0,IT,0
Dice Holdings Inc,New York,DHX,New York,42.6,124.0,301.5,2007-04-04,8.132,13.0,217.1,Consulting,0
Encore Bancshares Inc,Texas,EBTX,Nasdaq,0.0,187.0,1287.2,2007-05-08,9.453,21.0,41.574981,Finance,0
Limco-Piedmont Inc,Oklahoma,LIMC,Nasdaq,0.0,0.0,40.4,2007-04-16,9.686,11.0,48.4,Transport,0
Netezza Corp,Massachusetts,NZ,New York,-4.6,0.0,69.2,2007-03-22,8.812,12.0,108.0,Energy,0
Airvana Inc,Massachusetts,AIRV,Nasdaq,0.0,0.0,283.5,2007-04-19,12.164,7.0,58.1,IT,0
Monotype Imaging Holdings Inc,Massachusetts,TYPE,Nasdaq,0.0,120.7,272.3,2007-01-26,10.11,12.0,132.0,IT,0
Rex Energy Corp,Pennsylvania,REXX,Nasdaq,0.0,18.2,144.3,2007-04-27,8.178,11.0,105.6,Oil,0
ImaRx Therapeutics Inc,Arizona,IMRX,Nasdaq,0.0,0.0,31.6,2007-05-04,15.667,5.0,15.0,Chemical,0
Dolan Media Co,Minnesota,DM,New York,0.0,48.1,213.3,2007-04-26,8.337,14.5,195.119569,Media,0
Concho Resources Inc,Texas,CXO,New York,0.0,343.9,1401.5,2007-04-24,8.097,11.5,240.2017305,Oil,0
Virtusa Corp,Massachusetts,VRTU,Nasdaq,0.0,0.0,102.1,2007-04-06,13.818,14.0,61.6,IT,0
Masimo Corp,California,MASI,Nasdaq,80.4,22.2,170.3,2007-04-17,8.502,17.0,202.582642,Energy,0
VMware Inc,California,,New York,0.0,450.0,1390.4,2007-04-26,6.136,29.0,957.0,IT,0
Duff & Phelps Corp,New York,,New York,24.1,77.1,273.5,2007-05-23,10.798,16.0,132.8,Finance,0
Compellent Technologies Inc,Minnesota,CML,NYSE Arca,0.0,0.0,27.6,2007-07-02,9.147,13.5,81.0,IT,0
DuPont Fabros Technology Inc,District of Columbia,DFT,New York,0.0,296.7,814.8,2007-08-09,7.2,21.0,640.5,Finance,0
CVR Energy Inc,Texas,CVI,New York,0.0,484.3,1848.6,2006-09-26,8.815,19.0,380.0,Oil,0
Vanguard Natural Resources LLC,Texas,VNR,NYSE Arca,42.6,37.4,138.7,2007-04-25,9.133,19.0,99.75,Oil,0
Pzena Investment Management Inc,New York,PZN,New York,0.0,60.0,99.7,2007-06-11,10.461,18.0,109.8,Finance,0
Ulta Salon Cosmetics & Fragrance Inc,Illinois,ULTA,Nasdaq,74.7,55.0,393.5,2007-07-06,9.342,18.0,153.713664,Retail,0
Deltek Inc,Virginia,PROJ,Nasdaq,0.0,192.8,147.9,2007-05-08,11.131,18.0,162.0,IT,0
SandRidge Energy Inc,Oklahoma,SD,New York,0.0,1052.3,3170.5,2007-06-22,6.341,26.0,637.78,Oil,0
ICx Technologies Inc,Virginia,ICXT,Nasdaq,-89.6,0.2,171.1,2007-08-03,8.625,16.0,80.0,Machinery,0
ARYx Therapeutics Inc,California,ARYX,Nasdaq,-21.5,3.4,35.4,2007-08-30,11.0,10.0,50.0,Chemical,0
The Ensign Group Inc,California,ENSG,Nasdaq,0.0,60.6,196.0,2007-05-14,10.614,16.0,64.0,Health,0
Lumber Liquidators Inc,Virginia,LL,New York,0.0,0.0,101.1,2007-04-23,9.273,11.0,110.0,Timber,0
Quest Energy Partners LP,Oklahoma,QELP,Nasdaq,0.0,94.0,368.1,2007-07-19,7.416,18.0,163.8,Oil,0
Och-Ziff Capital Management Group LLC,New York,OZM,New York,3232.5,748.1,2316.7,2007-07-02,7.271,32.0,1152.0,Finance,0
El Paso Pipeline Partners LP,Texas,EPB,New York,85.0,463.0,799.0,2007-08-31,6.522,20.0,500.0,Oil,0
SuccessFactors Inc,California,SFSF,Nasdaq,0.0,0.1,57.0,2007-07-20,9.568,10.0,107.9,IT,0
Cardtronics Inc,Texas,CATM,Nasdaq,53.2,308.7,562.5,2007-09-07,8.25,10.0,120.0,Consulting,0
K12 Inc,Virginia,LRN,NYSE Arca,0.0,8.2,100.2,2007-07-26,9.415,18.0,108.0,Services,0
MEMSIC Inc,Massachusetts,MEMS,Nasdaq,0.0,0.0,33.4,2007-09-28,12.6,10.0,60.0,Machinery,0
Orion Energy Systems Inc,Wisconsin,OESX,Nasdaq,3.3,4.5,33.8,2007-08-20,10.478,13.0,100.000004,Machinery,0
IPC The Hospitalist Co Inc,California,IPCM,Nasdaq,6.4,7.9,94.4,2007-08-31,10.537,16.0,83.2,Health,0
MAKO Surgical Corp,Florida,MAKO,Nasdaq,-19.0,0.0,29.2,2007-09-19,12.392,10.0,51.0,Health,0
Heritage-Crystal Clean Inc,Illinois,HCCI,Nasdaq,11.3,0.8,48.0,2007-06-19,18.812,11.5,22.011,Oil,0
CardioNet Inc,Pennsylvania,BEAT,Nasdaq,6.4,1.4,150.1,2007-08-17,10.866,18.0,81.0,Health,0
Visa Inc,California,V,New York,0.0,40.0,27742.0,2007-11-09,3.032,44.0,17864.0,Finance,0
American Water Works Co Inc,New Jersey,AWK,New York,0.0,4696.3,12268.0,2007-08-27,3.206,21.5,1247.0,Transport,0
Colfax Corp,Maryland,CFX,New York,0.0,94.4,875.5,2008-01-04,8.167,18.0,337.5,Machinery,0
Energy Recovery Inc,California,ERII,Nasdaq,0.0,0.5,33.8,2008-04-01,9.457,8.5,119.0,Machinery,0
Rackspace Hosting Inc,Texas,RAX,New York,0.0,254.8,408.3,2008-04-25,8.721,12.5,187.5,IT,0
SolarWinds Inc,Texas,SWI,New York,0.0,44.1,89.1,2008-03-21,9.239,12.5,151.4534875,IT,0
OpenTable Inc,California,OPEN,Nasdaq,6.1,0.0,51.5,2009-01-30,11.348,20.0,60.0,Consulting,0
Select Medical Holdings Corp,Pennsylvania,SEM,New York,315.4,1521.4,2532.7,2008-07-25,6.982,10.0,300.0,Health,0
Talecris Biotherapeutics Holdings Corp,North Carolina,TLCR,Nasdaq,0.0,605.3,1373.6,2007-07-27,5.97,19.0,950.0,Chemical,0
Mistras Group Inc,New Jersey,MG,New York,0.0,18.9,171.1,2008-06-10,9.962,12.5,108.75,Engineering,0
Cellu Tissue Holdings Inc,Georgia,CLU,New York,0.0,242.5,502.1,2009-10-16,9.412,13.0,107.9,Chemical,0
Symetra Financial Corp,Washington,SYA,New York,227.3,448.9,22246.3,2009-10-05,6.513,12.0,364.8,Finance,0
Ironwood Pharmaceuticals Inc,Massachusetts,IRWD,Nasdaq,-67.9,1.6,162.5,2009-11-20,8.159,11.25,187.5000038,Chemical,0
Primerica Inc,Georgia,PRI,New York,0.0,0.0,9973.5,2009-11-05,10.116,15.0,320.4,Finance,0
Chatham Lodging Trust,Florida,CLDT,New York,3.5,0.0,151.2,2009-11-04,8.159,20.0,150.0,Finance,0
Douglas Dynamics Inc,Wisconsin,PLOW,New York,40.8,120.9,398.5,2010-01-29,9.842,11.25,112.5,Machinery,0
CBOE Holdings Inc,Illinois,CBOE,Nasdaq,0.0,0.0,632.5,2010-03-11,7.109,29.0,339.3,Finance,0
Oasis Petroleum Inc,Texas,OAS,New York,2.4,0.0,622.6,2010-03-04,6.592,14.0,588.0,Oil,0
Motricity Inc,Washington,MOTR,Nasdaq,-1.0,0.0,174.2,2010-01-22,20.203,10.0,60.0,Consulting,0
Tesla Motors Inc,California,TSLA,Nasdaq,-60.0,46.1,145.3,2010-01-29,8.231,17.0,226.1,Machinery,0
Envestnet Inc,Illinois,ENV,New York,2.4,0.2,83.4,2010-03-26,10.066,9.0,63.0,Consulting,0
RealPage Inc,Texas,RP,Nasdaq,0.0,34.5,142.1,2010-04-29,8.021,11.0,135.3,IT,0
SciQuest Inc,North Carolina,SQI,Nasdaq,3.8,0.0,38.7,2010-03-26,10.814,9.5,57.0,IT,0
The KEYW Holding Corp,Maryland,KEYW,Nasdaq,0.0,0.0,138.5,2010-06-17,1.284,10.0,91.0,Engineering,0
Campus Crest Communities Inc,North Carolina,CCG,New York,0.0,103.3,327.5,2010-05-14,7.865,12.5,354.1666625,Finance,0
Fresh Market Inc,North Carolina,TFM,Nasdaq,96.3,82.5,249.1,2010-05-03,1.602,22.0,289.85,Retail,0
LPL Investment Holdings Inc,Massachusetts,LPLA,Nasdaq,309.4,1162.7,3364.9,2010-06-04,6.044,30.0,469.72446,Finance,0
FXCM Inc,New York,FXCM,New York,0.0,0.0,591.7,2010-09-03,3.18,14.0,210.84,Finance,0
FleetCor Technologies Inc,Georgia,FLT,New York,175.6,313.8,1209.5,2010-04-15,7.339,23.0,291.525,Consulting,0
BankUnited Inc,Florida,BKU,New York,375.5,2250.5,10869.6,2010-08-13,5.555,27.0,783.0,Finance,0
Summit Hotel Properties Inc,Texas,INN,New York,32.9,0.0,493.0,2010-08-09,9.382,9.75,253.5,Finance,0
Kinder Morgan Inc,Texas,KMI,New York,1977.0,13866.8,28908.1,2010-07-19,3.577,30.0,2863.998,Oil,0
CVR Partners LP,Texas,UAN,New York,50.0,125.0,479.5,2010-12-20,6.936,16.0,307.2,Chemical,0
Zipcar Inc,Massachusetts,ZIP,Nasdaq,8.0,55.7,248.9,2009-06-10,7.983,18.0,174.313962,Transport,0
Air Lease Corp,California,AL,New York,0.0,1348.5,2781.5,2011-01-14,5.933,26.5,802.50003,Machinery,0
LinkedIn Corp,California,LNKD,New York,41.6,0.0,265.3,2011-01-06,7.937,45.0,352.8,IT,0
Bankrate Inc,Florida,RATE,New York,38.7,0.0,260.3,2011-04-15,20.148,15.0,300.0,Consulting,0
Vanguard Health Systems Inc,Tennessee,VHS,New York,0.0,2325.8,4114.1,2011-04-15,6.793,18.0,450.0,Health,0
HomeAway Inc,Texas,AWAY,Nasdaq,31.4,0.0,518.0,2011-02-09,8.409,27.0,216.0,IT,0
Zillow Inc,Washington,Z,Nasdaq,0.0,0.0,33.9,2011-03-16,11.082,20.0,69.24,IT,0
Francesca's Holdings Corp,Texas,FRAN,Nasdaq,0.0,41.0,66.7,2010-06-24,8.422,17.0,170.0,Retail,0
Dunkin Brands Group Inc,Massachusetts,DNKN,Nasdaq,136.6,1477.3,3124.3,2011-04-01,7.584,19.0,422.75,Restaurant,0
The Chefs Warehouse Inc,Connecticut,CHEF,Nasdaq,27.7,39.3,93.8,2011-04-12,8.259,15.0,135.0,Retail,0
Groupon Inc,Illinois,GRPN,Nasdaq,0.0,0.0,790.2,2010-12-30,6.708,20.0,700.0,IT,0
Rentech Nitrogen Partners LP,California,RNF,New York,28.8,0.0,223.0,2011-08-05,8.333,20.0,300.0,Chemical,0
Digital Domain Media Group Inc,Florida,DDMG,New York,0.0,37.1,178.9,2011-05-16,16.684,8.5,41.82,Media,0
Jive Software Inc,California,JIVE,Nasdaq,-41.9,10.2,143.9,2010-05-19,8.422,12.0,161.2752,IT,0
Caesars Entertainment Corp,Nevada,CZR,Nasdaq,1642.6,19791.3,28515.6,2011-11-15,17.684,9.0,16.301817,Services,0
EPAM Systems Inc,Pennsylvania,EPAM,New York,60.4,0.0,233.7,2011-06-10,11.589,12.0,72.0,IT,0
FX Alliance Inc,New York,FX,New York,52.5,0.0,201.2,2011-09-19,9.413,12.0,62.4,Finance,0
