company_name,state_name,ticker_name,exchange_name,profit_millions,debt_millions,assets_millions,ipo_date,ipo_fees_millions,ipo_price_usd_per_share,ipo_amount_millions,industry_name
Calix Inc.,California,CALX,New York,4.0,0.0,104.4,2010-03-24,12.1,13.0,82.3,IT
Calumet Specialty Products Partners LP,Indiana,CLMT,Nasdaq,0.0,64.1,399.7,2005-10-07,8.6,21.5,137.5,Oil
Calyxt Inc.,Minnesota,CLXT,Nasdaq,0.0,102.9,2061.9,2017-07-20,7.1,8.0,56.0,Food
Camping World Holdings Inc.,Illinois,CWH,New York,362.4,93.3,3462.6,2016-10-07,6.6,22.0,250.0,Retail
Campus Crest Communities Inc,North Carolina,CCG,New York,0.0,103.3,327.5,2010-05-14,7.9,12.5,354.2,Finance
Capella Education Co,Minnesota,CPLA,Nasdaq,0.0,0.0,108.9,2005-04-18,10.8,20.0,80.0,IT
Capital Bank Financial Corp,North Carolina,CBF,Nasdaq,45.8,140.8,6163.2,2011-06-23,8.6,18.0,180.0,Finance
Capstar Financial Holdings Inc.,Tennessee,CSTR,Nasdaq,63.8,0.0,3014.7,2016-09-22,10.8,15.0,38.8,Finance
Cara Therapeutics Inc.,Connecticut,CARA,Nasdaq,370.3,0.0,370.3,2014-01-31,4.9,11.0,55.0,Health
Carbonite Inc.,Massachusetts,CARB,Nasdaq,12.7,10.8,64.8,2011-08-11,12.2,10.0,62.5,IT
CardioNet Inc,Pennsylvania,BEAT,Nasdaq,6.4,1.4,150.1,2007-08-17,10.9,18.0,81.0,Health
Cardtronics Inc,Texas,CATM,Nasdaq,53.2,308.7,562.5,2007-09-07,8.3,10.0,120.0,Consulting
CareCom Inc.,Massachusetts,CRCM,New York,0.4,102.5,102.8,2014-01-24,8.6,17.0,91.0,IT
Caredx Inc.,California,CDNA,Nasdaq,0.0,0.0,49.1,2014-07-17,6.8,10.0,40.0,Health
Cargurus Inc.,Massachusetts,CARG,Nasdaq,0.0,15.7,97.1,2017-10-12,10.0,16.0,150.4,IT
Carrols Restaurant Group Inc,New York,TAST,Nasdaq,74.5,356.0,483.7,2006-09-22,8.9,13.0,130.0,Restaurant
Carvana Co,Arizona,CVNA,New York,0.0,0.2,257.5,2017-04-28,9.1,15.0,225.0,Retail
Casa Systems Inc.,Massachusetts,CASA,Nasdaq,0.0,3.9,8.9,2017-12-15,13.9,13.0,78.0,IT
Castle Brands Inc,New York,ROX,American,0.0,13.6,43.6,2005-09-29,14.5,9.0,31.5,Food
Castlight Health Inc.,California,CSLT,New York,3.4,0.0,36.2,2014-03-14,2.0,16.0,177.6,IT
Catabasis Pharmaceuticals Inc.,Massachusetts,CATB,Nasdaq,0.0,2587.1,2587.1,2015-06-25,2.7,12.0,60.0,Health
Catalent Inc.,New Jersey,CTLT,New York,0.0,0.0,3.5,2014-07-31,10.5,20.5,871.3,Health
Catalyst Pharmaceutical Partners Inc,Florida,CPRX,Nasdaq,0.0,0.0,3.5,2006-07-25,12.0,6.0,20.1,Chemical
Catasys Inc,California,CATS,Nasdaq,0.0,0.0,2.9,2017-02-10,10.7,4.8,15.0,Health
Catchmark Timber Trust Inc.,Georgia,CTT,New York,59.7,192.4,252.2,2013-12-12,8.3,13.5,142.1,Finance
Cbtx Inc.,Texas,CBTX,Nasdaq,258.7,166.6,35543.7,2017-11-08,10.4,26.0,62.4,Finance
Cdw Corp,Illinois,CDW,Nasdaq,0.0,1738.8,1738.8,2013-06-27,8.9,17.0,395.3,IT
Celanese Corp,Texas,CE,New York,412.0,3300.0,7368.0,2004-11-03,5.4,16.0,800.0,Chemical
Celcuity Inc.,Minnesota,CELC,Nasdaq,0.0,3.5,5.9,2017-09-20,9.9,9.5,22.8,Health
Cellectis SA,Maryland,CLLS,Nasdaq,0.0,221.1,249.5,2015-03-25,6.8,41.5,228.3,Health
Cellu Tissue Holdings Inc,Georgia,CLU,New York,0.0,242.5,502.1,2009-10-16,9.4,13.0,107.9,Chemical
Cellular Dynamics International Inc,Wisconsin,ICEL,Nasdaq,0.0,11.8,52.6,2013-06-03,11.7,12.0,46.2,Chemical
Celyad SA,Kansas,CYAD,Nasdaq,0.0,3.3,150.6,2015-06-19,16.3,68.6,100.1,Health
Century Communities Inc.,Colorado,CCS,New York,64.3,14.1,78.4,2014-06-18,10.0,23.0,103.0,Retail
ChannelAdvisor Corp,North Carolina,ECOM,New York,0.0,9.7,48.7,2012-09-28,10.3,14.0,80.5,IT
Charles River Laboratories International Inc,Massachusetts,CRL,New York,0.0,393.4,301.0,2000-04-25,7.6,16.0,224.0,Chemical
Chatham Lodging Trust,Florida,CLDT,New York,3.5,0.0,151.2,2009-11-04,8.2,20.0,150.0,Finance
Cheetah Mobile Inc.,Maryland,CMCM,New York,0.0,147.7,147.7,2014-05-08,6.6,14.0,168.0,IT
Chegg Inc,California,CHGG,New York,0.0,0.0,229.3,2013-06-12,9.0,12.5,187.5,IT
Chemocentryx Inc.,California,CCXI,Nasdaq,0.0,3.1,61.1,2012-02-08,8.1,10.0,45.0,Health
Cherry Hill Mortgage Investment Corp,New Jersey,CHMI,New York,0.0,0.0,1066.1,2013-10-04,5.8,20.0,130.0,Finance
Chesapeake Energy Corp,Oklahoma,CHKR,New York,0.0,328.8,328.8,2011-11-14,8.9,19.0,380.0,Oil
Chiasma Inc.,Massachusetts,CHMA,Nasdaq,0.0,0.0,14.6,2015-07-16,8.5,16.0,101.8,Health
Chicken Soup For The Soul Entertainment Inc.,Connecticut,CSSE,Nasdaq,0.0,93.4,408.1,2017-08-18,1.6,12.0,30.0,Retail
Chimerix Inc.,North Carolina,CMRX,Nasdaq,0.0,0.8,62.8,2013-04-11,7.9,14.0,102.5,Health
China Customer Relations Centers Inc.,Kentucky,CCRC,Nasdaq,0.0,0.4,150.1,2015-12-21,8.2,4.0,9.6,Machinery
China Internet Nationwide Financial Services Inc.,North Carolina,CIFS,Nasdaq,42.5,0.0,985.4,2017-08-08,7.7,10.0,20.2,Finance
China Online Education Group,Tennessee,COE,New York,0.0,261.8,261.8,2016-06-10,8.6,19.0,45.6,Food
China Rapid Finance Ltd,Massachusetts,XRF,New York,24.8,0.0,60.1,2017-04-28,10.2,6.0,60.0,Finance
Chinacache International Holdings Ltd,Colorado,CCIH,Nasdaq,0.0,18.6,1089.2,2010-10-01,8.4,13.9,84.2,IT
Chuy's Holdings Inc,Texas,CHUY,Nasdaq,16.7,4.2,120.9,2011-08-05,9.4,13.0,75.8,Restaurant
Cidara Therapeutics Inc.,California,CDTX,Nasdaq,0.0,0.0,23.8,2015-04-15,10.3,16.0,76.8,Health
Citizens Financial Group Inc,Rhode Island,CFG,New York,1355.0,2062.0,130279.0,2013-02-23,2.0,21.5,3010.0,Finance
Citrix Systems Inc,Florida,CTXS,Nasdaq,0.3,0.1,3.9,1995-10-24,9.6,15.0,37.5,IT
City Office Reit Inc.,Nebraska,CIO,New York,10.1,0.0,3539.2,2014-04-15,8.1,12.5,72.5,Finance
Clayton Holdings Inc,Connecticut,CLAY,Nasdaq,31.3,79.9,247.5,2005-11-07,10.5,17.0,127.5,Consulting
Clean Energy Fuels Corp,California,CLNE,Nasdaq,0.0,0.2,139.8,2006-09-06,9.3,12.0,120.0,Oil
Clearside Biomedical Inc.,North Carolina,CLSD,Nasdaq,277.0,0.0,277.0,2016-06-02,8.5,7.0,50.4,Health
Clearsign Combustion Corp,Washington,CLIR,Nasdaq,46.8,0.1,47.0,2012-04-25,8.0,4.0,12.0,Machinery
Clearwire Corp,Nevada,CLWR,Nasdaq,0.0,649.3,2627.4,2006-12-19,6.8,25.0,600.0,IT
Cleveland Biolabs Inc,New York,CBLI,Nasdaq,0.0,0.1,2.4,2006-02-17,12.9,6.0,10.2,Agriculture
Clipper Realty Inc.,New York,CLPR,New York,0.0,145.7,135215.1,2017-02-10,8.4,13.5,77.0,Finance
Cloudera Inc.,California,CLDR,New York,0.0,0.0,35.4,2017-04-28,9.2,15.0,225.0,IT
Co-Diagnostics Inc.,Utah,CODX,Nasdaq,0.0,6.7,238.8,2017-07-12,11.1,6.0,7.1,Health
Codexis Inc.,California,CDXS,Nasdaq,4.5,0.0,546.0,2010-04-22,12.2,13.0,78.0,Health
Cogdell Spencer Inc,North Carolina,CSA,New York,0.0,144.9,177.6,2005-08-10,9.9,17.0,98.6,Finance
Cohen & Steers Inc,New York,CNS,New York,0.0,1.7,44.0,2004-03-30,11.1,13.0,97.5,Finance
Coherus Biosciences Inc,California,CHRS,Nasdaq,0.0,0.0,129.2,2014-09-25,10.7,13.5,85.0,Agriculture
Coley Pharmaceutical Group Inc,Massachusetts,COLY,Nasdaq,0.0,2.8,70.7,2005-04-20,8.5,16.0,96.0,Chemical
Colfax Corp,Maryland,CFX,New York,0.0,94.4,875.5,2008-01-04,8.2,18.0,337.5,Machinery
Collectors Universe Inc,California,CLCT,Nasdaq,0.0,0.0,15.7,1999-09-02,9.9,6.0,24.0,Consulting
Collegium Pharmaceutical Inc.,Massachusetts,COLL,Nasdaq,7.0,0.0,66.5,2015-05-07,7.2,12.0,69.6,Health
Color Kinetics Inc,Massachusetts,CLRK,Nasdaq,0.1,0.0,67.0,2004-04-09,11.3,10.0,40.0,Machinery
Columbia Sportswear Co,Oregon,COLM,Nasdaq,51.8,2.8,174.5,1997-12-24,7.5,18.0,100.8,Clothes
CommVault Systems Inc,New Jersey,CVLT,Nasdaq,0.0,0.0,78.1,2006-03-17,8.3,14.5,161.1,IT
Commercial Vehicle Group Inc,Ohio,CVGI,Nasdaq,0.0,71.3,210.8,2004-05-21,8.2,13.0,120.3,Machinery
Commscope Holding Company Inc.,North Carolina,COMM,Nasdaq,16.0,0.0,26.0,2013-10-25,10.5,15.0,576.9,IT
Community Health Systems Inc,Tennessee,CYH,New York,0.0,1296.4,1937.7,2000-03-06,0.4,13.0,243.8,Health
Community Healthcare Trust Inc.,Tennessee,CHCT,New York,0.0,0.0,476.4,2015-05-21,8.2,19.0,118.8,Finance
Compellent Technologies Inc,Minnesota,CML,NYSE Arca,0.0,0.0,27.6,2007-07-02,9.1,13.5,81.0,IT
Complete Genomics Inc.,California,GNOM,Nasdaq,0.0,42.7,71.9,2010-11-11,13.9,9.0,54.0,Finance
Complete Production Services Inc,Texas,CPX,New York,0.0,434.8,1059.7,2005-09-30,6.7,24.0,624.0,Oil
Comstock Homebuilding Cos Inc,Virginia,CHCI,Nasdaq,0.0,45.7,117.8,2004-08-13,10.7,16.0,63.4,Services
Conatus Pharmaceuticals Inc.,California,CNAT,Nasdaq,0.0,0.0,53.6,2013-07-25,9.7,11.0,66.0,Health
Conceptus Inc,California,CPTS,Nasdaq,0.0,0.0,6.1,1995-11-30,8.7,14.0,42.0,Health
Concert Pharmaceuticals Inc.,Massachusetts,CNCE,Nasdaq,0.0,0.0,10.6,2014-02-13,12.8,14.0,84.0,Health
Concho Resources Inc,Texas,CXO,New York,0.0,343.9,1401.5,2007-04-24,8.1,11.5,240.2,Oil
Concur Technologies Inc,Washington,CNQR,Nasdaq,0.0,7.0,25.0,1998-08-26,9.0,12.5,38.8,IT
Conformis Inc.,Massachusetts,CFMS,Nasdaq,0.0,0.0,3772.1,2015-07-01,15.3,15.0,135.0,Health
ConnectOne Bancorp Inc,New Jersey,CNOB,Nasdaq,17.0,77.6,925.6,2013-01-11,6.3,28.0,44.8,Finance
Connecture Inc,Wisconsin,CNXR,Nasdaq,0.0,48.6,87.5,2014-10-20,14.6,8.0,53.1,IT
Consolidated Communications Holdings Inc,Illinois,CNSL,Nasdaq,0.0,560.0,959.7,2004-12-08,10.5,13.0,203.7,IT
Constellation Energy Partners LLC,Maryland,CEP,New York,16.1,22.0,201.7,2006-06-13,9.3,21.0,94.5,Oil
Constellium NV,Oregon,CSTM,New York,0.0,0.0,147.2,2013-05-23,11.6,15.0,333.3,Chemical
Container Store Group Inc.,Texas,TCS,New York,54.5,74.9,512.9,2013-11-01,10.1,18.0,225.0,Retail
Continental Building Products Inc.,Virginia,CBPX,New York,0.0,0.0,2.7,2014-02-05,8.9,14.0,164.7,Chemical
Control4 Corp,Utah,CTRL,Nasdaq,0.0,4.9,48.0,2013-08-02,2.4,16.0,64.0,IT
Controladora Vuela Compania De Aviacion SAB De CV,Pennsylvania,VLRS,New York,3.1,91.7,94.8,2013-09-18,8.1,12.0,271.8,Machinery
Converted Organics Inc,Massachusetts,COIN,Nasdaq,0.0,17.5,1.6,2006-06-21,19.6,5.5,9.9,Chemical
Copano Energy LLC,Texas,CPNO,Nasdaq,0.0,57.0,139.9,2004-07-30,7.8,20.0,100.0,Oil
Corcept Therapeutics Inc,California,CORT,Nasdaq,0.0,0.0,10.5,2004-02-10,9.0,12.0,54.0,Chemical
Coresite Realty Corp,Colorado,COR,New York,443.6,0.0,531.5,2010-09-23,14.2,16.0,270.4,Finance
Cornerstone Ondemand Inc.,California,CSOD,Nasdaq,0.0,535.2,535.2,2011-03-17,7.5,13.0,136.5,IT
Corvus Pharmaceuticals Inc.,California,CRVS,Nasdaq,22.4,0.0,93.2,2016-03-23,7.2,15.0,70.5,Health
Costamare Inc.,Wisconsin,CMRE,New York,2.7,77.1,79.8,2010-11-04,14.9,12.0,159.6,Machinery
County Bancorp Inc.,Wisconsin,ICBK,Nasdaq,12.9,128.6,3714.4,2015-01-16,7.4,15.8,18.6,Finance
Coupa Software Inc.,California,COUP,Nasdaq,0.0,0.2,167.2,2016-10-06,8.9,18.0,133.2,IT
Covisint Corp,Michigan,COVS,Nasdaq,0.0,0.0,96.0,2012-06-10,10.1,10.0,64.0,IT
Cowen Group Inc,New York,COWN,Nasdaq,0.0,0.0,789.9,2006-03-21,10.3,16.0,179.5,Finance
Cpi Card Group Inc.,Colorado,PMTS,Nasdaq,0.0,1367.2,1367.2,2015-10-09,9.3,10.0,150.0,Machinery
Criteo SA,Louisiana,CRTO,Nasdaq,0.0,0.0,34.6,2013-10-30,10.9,31.0,250.6,IT
Crocs Inc,Colorado,CROX,Nasdaq,30.2,1.1,76.9,2005-08-15,7.7,21.0,207.9,Clothes
Crosstex Energy Inc,Texas,XTXI,Nasdaq,45.4,62.7,375.8,2003-10-30,9.4,19.5,45.0,Oil
Crosstex Energy LP,Texas,XTEX,Nasdaq,4.4,47.5,168.4,2002-08-07,12.4,20.0,40.0,Oil
Cue Biopharma Inc.,Massachusetts,CUE,Nasdaq,0.0,1.1,24.9,2018-01-02,15.1,7.5,66.2,Health
Curo Group Holdings Corp,Kansas,CURO,New York,8.8,0.0,2801.4,2017-12-07,3.6,14.0,93.3,Finance
Customers Bancorp Inc,Pennsylvania,CUUU,Nasdaq,45.4,507.0,3458.6,2013-05-09,4.9,16.8,90.0,Finance
Cvent Inc,Virginia,CVT,New York,0.0,0.0,90.4,2012-11-06,8.7,21.0,117.6,IT
Cyan Inc,California,CYNI,New York,0.0,4.2,63.1,2012-11-20,9.9,11.0,88.0,IT
Cyberark Software Ltd,North Carolina,CYBR,Nasdaq,0.0,0.0,32.0,2014-09-24,1.2,16.0,14.4,IT
Cypress Energy Partners LP,Oklahoma,CELP,New York,0.0,12.2,96.4,2014-01-15,6.1,20.0,75.0,Oil
Cyrusone Inc.,Texas,CONE,Nasdaq,60.3,338.0,13326.6,2013-01-18,8.0,19.0,313.5,Finance
Cytomx Therapeutics Inc.,California,CTMX,Nasdaq,22.3,0.0,23.7,2015-10-08,6.8,12.0,80.0,Health
DURECT Corp,California,DRRX,Nasdaq,0.0,0.9,45.3,2000-04-20,8.3,12.0,84.0,Chemical
Daqo New Energy Corp,Georgia,DQ,New York,0.0,61.7,70.6,2010-10-07,16.0,9.5,76.0,IT
Dave & Buster'S Entertainment Inc.,Texas,PLAY,Nasdaq,4.1,1548.7,1552.8,2014-10-10,6.6,16.0,94.1,Retail
Davidstea Inc.,Georgia,DTEA,Nasdaq,0.0,3.1,85.6,2015-06-05,5.8,19.0,96.9,Food
Dbv Technologies SA,Maryland,DBVT,Nasdaq,445.5,0.3,445.8,2014-10-22,6.9,21.6,92.6,Health
DealerTrack Holdings Inc,New York,TRAK,Nasdaq,0.0,0.4,138.0,2005-07-27,7.9,17.0,170.0,IT
Debt Resolve Inc,New York,DRV,American,0.0,0.0,0.7,2006-07-20,14.8,5.0,12.5,IT
Deciphera Pharmaceuticals Inc.,Massachusetts,DCPH,Nasdaq,0.0,0.0,3917.1,2017-09-28,14.3,17.0,127.5,Health
Del Frisco's Restaurant Group LLC,Texas,DFRG,Nasdaq,35.8,0.0,236.8,2012-01-24,11.3,13.0,75.4,Restaurant
Delek Logistics Partners Lp,Tennessee,DKL,New York,3.6,51.9,179.5,2012-11-02,6.1,21.0,168.0,Oil
Delek US Holdings Inc,Tennessee,DK,New York,0.0,211.4,621.8,2006-02-08,8.4,16.0,160.0,Oil
Deltek Inc,Virginia,PROJ,Nasdaq,0.0,192.8,147.9,2007-05-08,11.1,18.0,162.0,IT
Denali Therapeutics Inc.,California,DNLI,Nasdaq,0.0,29.3,60.4,2017-12-08,6.7,18.0,250.0,Health
Dendreon Corp,Washington,DNDN,Nasdaq,0.0,2.3,19.0,2000-03-08,10.3,10.0,45.0,Chemical
Dermira Inc.,California,DERM,Nasdaq,0.0,27.0,43.6,2014-10-03,5.8,16.0,125.0,Health
DespegarCom Corp,Maryland,DESP,New York,0.0,1576.2,1576.2,2017-09-20,6.6,26.0,332.0,Retail
DiamondRock Hospitality Co,Maryland,DRH,New York,0.0,159.3,431.8,2005-03-01,7.7,10.5,273.9,Finance
Diamondback Energy Inc.,Texas,FANG,Nasdaq,15.9,3595.1,3611.0,2012-10-12,6.0,17.5,218.8,Oil
Dice Holdings Inc,New York,DHX,New York,42.6,124.0,301.5,2007-04-04,8.1,13.0,217.1,Consulting
Dicerna Pharmaceuticals Inc.,Massachusetts,DRNA,Nasdaq,0.0,26.1,55.2,2014-01-30,9.4,15.0,90.0,Health
Dick's Sporting Goods Inc,Pennsylvania,DKS,New York,69.4,102.0,377.8,2002-07-17,7.0,12.0,87.5,Retail
Digital Cinema Destinations Corp,New Jersey,DCIN,Nasdaq,0.0,0.0,4.7,2011-12-20,13.1,6.1,13.4,Media
Digital Domain Media Group Inc,Florida,DDMG,New York,0.0,37.1,178.9,2011-05-16,16.7,8.5,41.8,Media
Digital Realty Trust Inc,California,DLR,New York,0.0,503.8,822.2,2004-08-02,10.5,12.0,240.0,Finance
Diplomat Pharmacy Inc.,Michigan,DPLO,New York,0.0,2485.8,2507.4,2014-10-10,8.7,13.0,173.3,Health
DivX Inc,California,DIVX,Nasdaq,0.0,0.2,43.0,2006-05-05,8.7,16.0,145.6,IT
Dogness (International) Corp,Indiana,DOGZ,Nasdaq,0.0,1029.5,1029.5,2017-12-20,7.6,5.0,55.0,Food
Dolan Media Co,Minnesota,DM,New York,0.0,48.1,213.3,2007-04-26,8.3,14.5,195.1,Media
Dorian Lpg Ltd,Connecticut,LPG,New York,37.0,0.2,72.3,2014-05-08,4.7,19.0,135.0,Machinery
Douglas Dynamics Inc,Wisconsin,PLOW,New York,40.8,120.9,398.5,2010-01-29,9.8,11.3,112.5,Machinery
Douglas Emmett Inc,California,DEI,New York,0.0,2785.2,3062.2,2006-06-16,6.2,21.0,1386.0,Finance
Dova Pharmaceuticals Inc.,North Carolina,DOVA,Nasdaq,0.0,3.0,467.1,2017-06-29,13.4,17.0,75.1,Health
Dover Saddlery Inc,Massachusetts,DOVR,Nasdaq,0.0,8.3,30.7,2005-08-26,10.1,10.0,27.5,Transport
DuPont Fabros Technology Inc,District of Columbia,DFT,New York,0.0,296.7,814.8,2007-08-09,7.2,21.0,640.5,Finance
Duluth Holdings Inc.,Wisconsin,DLTH,Nasdaq,90.3,1538.7,1629.0,2015-11-20,6.6,12.0,80.0,Retail
Duncan Energy Partners LP,Texas,DEP,New York,75.8,169.0,804.1,2006-11-02,7.1,21.0,273.0,Oil
Dunkin Brands Group Inc,Massachusetts,DNKN,Nasdaq,136.6,1477.3,3124.3,2011-04-01,7.6,19.0,422.8,Restaurant
Dyax Corp,Massachusetts,DYAX,Nasdaq,0.0,1.7,30.5,2000-05-19,8.6,15.0,58.8,Chemical
DynCorp International LLC,Virginia,DCP,New York,148.7,629.3,1227.6,2005-09-28,7.6,15.0,375.0,Consulting
Dynagas Lng Partners Lp,South Dakota,DLNG,Nasdaq,27.8,0.0,41.2,2013-11-13,4.8,18.0,225.0,Machinery
Dynavax Technologies Corp,California,DVAX,Nasdaq,0.0,0.0,91.5,2003-10-24,10.0,7.5,45.0,Chemical
EDEN Bioscience Corp,Washington,EDEN,Nasdaq,0.0,0.3,11.7,2000-07-07,7.3,15.0,87.0,Chemical
ELF Beauty Inc.,California,ELF,New York,0.0,1871.2,1871.2,2016-09-22,12.3,17.0,141.7,Food
EP Energy Corp,Texas,EPE,New York,1038.0,4020.0,8366.0,2013-06-24,5.6,20.0,704.0,Oil
EPAM Systems Inc,Pennsylvania,EPAM,New York,60.4,0.0,233.7,2011-06-10,11.6,12.0,72.0,IT
EV Energy Partners LP,Texas,EVEP,Nasdaq,0.0,10.4,85.7,2006-05-15,9.1,20.0,78.0,Oil
EXCO Resources Inc,Texas,XCO,New York,0.0,569.6,2288.3,2005-11-23,5.5,13.0,650.0,Oil
Eagle Pharmaceuticals Inc.,New Jersey,EGRX,Nasdaq,0.0,0.0,19.7,2014-02-12,10.6,15.0,50.3,Health
Eagle Rock Energy Partners LP,Texas,EROC,Nasdaq,0.0,405.7,768.8,2006-06-06,7.6,19.0,237.5,Oil
Eagle Test Systems Inc,Illinois,EGLT,Nasdaq,0.0,0.5,77.1,2005-12-20,8.9,15.5,100.8,Machinery
Easterly Government Properties Inc.,Iowa,DEA,New York,284.3,2375.0,3422.9,2015-02-06,12.9,15.0,180.0,Finance
Editas Medicine Inc.,Massachusetts,EDIT,Nasdaq,0.0,25.2,566.0,2016-02-03,9.0,16.0,94.4,Health
Education Realty Trust Inc,Tennessee,EDR,New York,8.7,288.2,88.9,2004-09-24,7.8,16.0,304.0,Finance
El Paso Pipeline Partners LP,Texas,EPB,New York,85.0,463.0,799.0,2007-08-31,6.5,20.0,500.0,Oil
El Pollo Loco Holdings Inc.,California,LOCO,Nasdaq,86.2,36.7,215.4,2014-07-25,17.3,15.0,107.1,Retail
Electromed Inc.,Minnesota,ELMD,Nasdaq,0.0,803.1,803.1,2010-08-13,6.2,4.0,6.8,Health
Elevate Credit Inc.,Texas,ELVT,New York,31.1,249.6,3015.8,2017-04-06,6.5,6.5,80.6,Finance
Ellington Financial Inc.,Connecticut,EFC,New York,0.0,435.4,3349.2,2010-10-08,7.9,22.5,101.3,Finance
Ellington Residential Mortgage Reit,Connecticut,EARN,New York,40.0,125.3,633.8,2013-05-01,9.7,20.0,129.0,Finance
Eloqua Inc,Virginia,ELOQ,Nasdaq,0.0,0.0,34.0,2011-08-24,8.8,11.5,92.0,IT
Emerald Expositions Events Inc.,California,EEX,New York,3.5,10.9,2414.0,2017-04-28,7.0,17.0,263.5,Machinery
Emerge Energy Services Lp,Texas,EMES,New York,0.0,3.3,58.3,2013-05-09,6.4,17.0,127.5,Chemical
Emergency Medical Services Corp,Ohio,EMS,New York,121.8,495.5,996.9,2005-08-02,11.0,14.0,113.4,Transport
Emergent BioSolutions Inc,Maryland,EBS,New York,12.1,31.4,120.0,2006-08-14,12.5,12.5,62.5,Chemical
Empire State Realty Trust Inc.,New York,ESRT,New York,315.4,348.8,3528.3,2013-10-02,7.9,13.0,929.5,Finance
Employers Holdings Inc,Nevada,EIG,New York,0.0,0.0,3121.9,2006-12-04,7.7,17.0,454.8,Finance
Enable Midstream Partners Lp,Oklahoma,ENBL,New York,0.0,27.5,81.5,2014-04-11,6.7,20.0,500.0,Oil
Enanta Pharmaceuticals Inc.,Massachusetts,ENTA,Nasdaq,0.0,211.2,211.2,2013-03-21,12.4,14.0,56.0,Health
Encore Acquisition Co,Texas,EAC,New York,45.3,52.1,343.8,2000-10-06,8.4,14.0,100.1,Oil
Encore Bancshares Inc,Texas,EBTX,Nasdaq,0.0,187.0,1287.2,2007-05-08,9.5,21.0,41.6,Finance
Endurance International Group Holdings Inc.,Massachusetts,EIGI,Nasdaq,0.0,0.0,191.3,2013-10-25,6.1,12.0,252.6,IT
EnerNOC Inc,Massachusetts,ENOC,Nasdaq,0.0,4.9,43.6,2007-02-12,10.3,26.0,97.5,Machinery
EnerSys Inc,Pennsylvania,ENS,New York,0.0,362.6,1129.2,2004-05-17,10.2,12.5,156.3,Energy
Energous Corp,California,WATT,Nasdaq,2.9,0.1,1285.5,2014-03-28,11.7,6.0,24.0,IT
Energy Recovery Inc,California,ERII,Nasdaq,0.0,0.5,33.8,2008-04-01,9.5,8.5,119.0,Machinery
Enphase Energy Inc.,California,ENPH,Nasdaq,0.0,0.8,788.0,2012-03-30,9.4,6.0,53.8,IT
Enterprise GP Holdings LP,Texas,EPE,New York,0.0,4788.8,11722.3,2005-04-26,6.9,28.0,352.8,Oil
Enterprise Products Partners LP,Texas,EPD,New York,0.0,75.0,714.6,1998-05-13,7.2,22.0,264.0,Oil
Envestnet Inc,Illinois,ENV,New York,2.4,0.2,83.4,2010-03-26,10.1,9.0,63.0,Consulting
Envision Healthcare Holdings Inc,Colorado,EVHC,New York,408.6,2225.4,4040.2,2013-06-13,5.3,23.0,966.0,Health
Enviva Partners Lp,Maryland,EVA,New York,0.0,0.0,12.3,2015-04-29,9.3,20.0,200.0,Chemical
Epizyme Inc.,Massachusetts,EPZM,Nasdaq,0.0,1.7,1972.7,2013-05-31,6.8,15.0,77.1,Health
Eqm Midstream Partners Lp,Pennsylvania,EQM,New York,47.8,1190.9,1238.7,2012-06-27,5.8,21.0,262.5,Oil
Equity Bancshares Inc.,Kansas,EQBK,Nasdaq,3.6,0.0,1178.2,2015-11-11,3.3,22.5,43.7,Finance
Eros International Plc,Hawaii,EROS,New York,0.0,63.0,86.1,2013-11-13,5.9,11.0,55.0,Retail
Erytech Pharma SA,Wisconsin,ERYP,Nasdaq,0.0,0.0,24.2,2017-11-10,4.7,23.3,109.0,Health
Eschelon Telecom Inc,Minnesota,ESCH,Nasdaq,26.1,96.4,229.4,2005-05-06,9.9,14.0,75.0,IT
Esh Hospitality Inc.,North Carolina,STAY,New York,2.5,95.7,98.2,2013-11-13,10.9,20.0,565.0,Retail
Esperion Therapeutics Inc.,Michigan,ESPR,Nasdaq,0.0,0.0,4999.8,2013-06-26,14.0,14.0,70.0,Health
Essent Group Ltd,Virginia,ESNT,New York,19.6,324.7,2283.8,2013-10-31,7.2,17.0,335.1,Finance
Etsy Inc.,New York,ETSY,Nasdaq,30.6,12.9,518.3,2015-04-16,7.7,16.0,266.7,Retail
EverBank Financial Corp,Florida,EVER,New York,0.0,2607.4,13631.6,2010-10-08,10.1,10.0,192.2,Finance
Everbridge Inc.,Massachusetts,EVBG,Nasdaq,0.0,1.9,3199.3,2016-09-16,11.6,12.0,90.0,IT
Evercore Partners Inc,New York,EVR,New York,0.0,0.1,83.9,2006-05-12,14.2,21.0,83.0,Finance
Evergreen Solar Inc,Massachusetts,ESLR,Nasdaq,0.0,0.0,56.9,2000-08-04,9.5,14.0,42.0,Machinery
Everspin Technologies Inc.,Arizona,MRAM,Nasdaq,0.0,0.0,38.8,2016-10-07,8.3,8.0,40.0,IT
Evertec Inc.,Pennsylvania,EVTC,New York,22.2,4.7,972.8,2013-04-12,10.7,20.0,505.3,IT
Everyday Health Inc,New York,EVDY,New York,12.0,70.8,192.3,2014-02-24,9.6,14.0,100.1,Consulting
Evogene Ltd,Iowa,EVGN,New York,0.0,7.7,54.0,2013-11-21,11.0,14.8,73.8,Health
Evoke Pharma Inc.,California,EVOK,Nasdaq,0.0,0.0,3572.9,2013-09-25,8.9,12.0,25.2,Health
